order_id,order_date,region,category,product,customer_id,quantity,price,sales,profit
ORD-00058,2023-03-07 00:58:41.003134,North,Clothing,Cap,CUST-0048,7,22.85,159.95,127.16499999999999
ORD-00284,2023-11-19 22:07:08.840125,South,Furniture,Bookshelf,CUST-0101,9,480.49,4324.41,289.35
ORD-00133,2023-05-31 14:53:47.586206,North,Furniture,Bookshelf,CUST-0052,1,299.31,299.31,9.77
ORD-00093,2023-04-15 23:28:24.075235,North,Clothing,Cap,CUST-0137,9,401.43,3612.87,-281.68
ORD-00087,2023-04-09 00:00:00.000000,South,Clothing,T-Shirt,CUST-0146,11,147.67,1624.37,373.91
ORD-00257,2023-10-20 02:42:30.470219,West,Clothing,Socks Pack,CUST-0055,7,217.37,1521.59,143.01
ORD-00156,2023-06-26 20:45:53.605015,East,Furniture,Bookshelf,CUST-0025,6,130.36,782.16,-21.79
ORD-00086,2023-04-07 23:46:27.460815,North,Office Supplies,Stapler,CUST-0067,9,278.79,2509.11,487.64
ORD-00301,2023-12-09 00:00:00.000000,East,Electronics,Headphones,CUST-0101,9,424.68,3822.12,1328.84
ORD-00085,2023-04-06 00:00:00.000000,East,Office Supplies,Printer Paper,CUST-0012,11,392.09,4312.99,1251.03
ORD-00201,2023-08-17 05:06:57.554858,East,Office Supplies,Notebook Pack,CUST-0001,6,344.65,2067.9,400.57
ORD-00081,2023-04-02 06:50:47.021943,East,Office Supplies,Printer Paper,CUST-0039,2,172.73,345.46,-4.76
ORD-00262,2023-10-25 19:38:10.909090,South,Clothing,Jacket,CUST-0010,11,484.53,5329.83,212.1
ORD-00177,2023-07-20 19:51:43.448275,West,Clothing,Cap,CUST-0112,1,227.57,227.57,68.64
ORD-00239,2023-09-29 13:46:04.890282,East,Electronics,Monitor,CUST-0130,2,362.94,725.88,54.51
ORD-00105,2023-04-29 16:06:01.128526,East,Furniture,Filing Cabinet,CUST-0033,10,267.12,2671.2,625.18
ORD-00116,2023-05-12 05:20:30.094043,West,Electronics,Headphones,CUST-0077,2,247.3,494.6,24.68
ORD-00319,2023-12-29 20:36:51.912225,West,Electronics,Monitor,CUST-0013,10,202.6,2026.0,-170.58
ORD-00109,2023-05-04 05:38:33.479623,East,Office Supplies,Printer Paper,CUST-0071,9,451.76,4065.84,1034.41
ORD-00091,2023-04-13 16:42:07.899686,South,Clothing,Jacket,CUST-0143,10,23.3,233.0,15.78
ORD-00149,2023-06-18 21:03:56.990595,North,Clothing,Cap,CUST-0088,3,53.97,161.91,38.71
ORD-00103,2023-04-27 09:19:44.952978,West,Office Supplies,Pen Set,CUST-0145,4,213.09,852.36,282.68
ORD-00203,2023-08-19 00:00:00.000000,North,Clothing,Jacket,CUST-0032,4,233.3,933.2,85.06
ORD-00082,2023-04-03 10:13:55.109717,North,Office Supplies,Pen Set,CUST-0068,8,157.23,1257.84,212.97
ORD-00016,2023-01-18 02:47:01.316614,West,Office Supplies,Notebook Pack,CUST-0127,10,451.81,4518.1,1539.8
ORD-00180,2023-07-24 00:00:00.000000,East,Electronics,Keyboard,CUST-0077,7,454.01,3178.07,281.85
ORD-00209,2023-08-26 00:00:00.000000,South,Office Supplies,Stapler,CUST-0010,10,88.16,881.6,-29.9
ORD-00075,2023-03-26 00:00:00.000000,West,Office Supplies,Stapler,CUST-0127,6,46.64,279.84,2.7
ORD-00038,2023-02-12 05:15:59.247648,North,Furniture,Bookshelf,CUST-0103,1,11.09,11.09,1.16
ORD-00003,2023-01-03 06:46:16.175548,North,Clothing,Cap,CUST-0128,9,236.35,2127.15,538.47
ORD-00272,2023-11-06 05:29:31.786833,North,Electronics,Keyboard,CUST-0137,5,270.92,1354.6,246.12
ORD-00015,2023-01-16 23:23:53.228840,West,Office Supplies,Pen Set,,2,417.56,835.12,-63.98
ORD-00299,2023-12-07 00:54:10.156739,West,Electronics,Keyboard,CUST-0074,1,241.21,241.21,29.53
ORD-00265,2023-10-29 00:00:00.000000,South,Clothing,Cap,CUST-0059,2,398.92,797.84,116.13
ORD-00195,2023-08-10 08:48:09.028213,South,Clothing,Cap,CUST-0069,2,8.72,17.44,0.89
ORD-00300,2023-12-08 04:17:18.244514,South,Furniture,Bookshelf,CUST-0083,9,419.12,3772.08,73.75999999999999
ORD-00229,2023-09-18 03:54:44.012539,West,Electronics,Headphones,CUST-0030,2,311.69,623.38,-28.12
ORD-00071,2023-03-21 20:59:26.144200,West,Clothing,Socks Pack,CUST-0098,7,420.34,2942.38,127.16499999999999
ORD-00067,2023-03-17 07:26:53.793103,East,Electronics,Headphones,CUST-0076,7,64.24,449.68,28.88
ORD-00102,2023-04-26 05:56:36.865203,South,Electronics,Headphones,CUST-0031,4,13.75,55.0,5.72
ORD-00279,2023-11-14 05:11:28.401253,West,Furniture,Desk,CUST-0139,11,245.71,2702.81,311.03
ORD-00151,2023-06-21 03:50:13.166144,North,Furniture,Desk,CUST-0014,3,27.36,82.08,9.58
ORD-00100,2023-04-23 00:00:00.000000,North,Electronics,Keyboard,CUST-0150,3,351.94,1055.82,62.175
ORD-00298,2023-12-05 21:31:02.068965,East,Furniture,Filing Cabinet,CUST-0137,10,396.77,3967.7,426.21
ORD-00148,2023-06-17 00:00:00.000000,South,Clothing,T-Shirt,CUST-0025,4,343.86,1375.44,72.58
ORD-00161,2023-07-02 13:41:34.043887,North,Electronics,Webcam,CUST-0113,8,426.41,3411.28,1001.41
ORD-00140,2023-06-08 14:35:44.200626,North,Office Supplies,Notebook Pack,CUST-0129,11,456.73,5024.03,-22.78
ORD-00164,2023-07-05 23:50:58.307210,South,Furniture,Bookshelf,CUST-0081,5,220.11,1100.55,-44.8
ORD-00099,2023-04-22 19:47:12.601880,South,Clothing,Cap,CUST-0081,11,151.7,1668.7,139.46
ORD-00236,2023-09-26 00:00:00.000000,South,Clothing,Cap,CUST-0140,5,466.73,2333.65,177.76
ORD-00295,2023-12-02 11:21:37.805642,North,Furniture,Office Chair,CUST-0106,4,69.79,279.16,27.21
ORD-00302,2023-12-10 11:03:34.420062,West,Electronics,Webcam,CUST-0048,2,203.82,407.64,8.41
ORD-00098,2023-04-21 16:24:04.514106,West,Clothing,T-Shirt,CUST-0013,8,174.25,1394.0,310.78
ORD-00090,2023-04-12 13:18:59.811912,South,Electronics,Webcam,CUST-0013,8,279.95,2239.6,584.37
ORD-00119,2023-05-15 00:00:00.000000,East,Furniture,Office Chair,CUST-0130,11,29.04,319.44,34.29
ORD-00275,2023-11-09 15:38:56.050156,East,Clothing,Socks Pack,CUST-0064,5,386.53,1932.65,276.78
ORD-00089,2023-04-11 09:55:51.724137,West,Furniture,Filing Cabinet,CUST-0037,11,235.16,2586.76,879.66
ORD-00019,2023-01-21 00:00:00.000000,West,Furniture,Bookshelf,CUST-0066,8,136.9,1095.2,-40.64
ORD-00127,2023-05-24 18:34:59.059561,East,Furniture,Filing Cabinet,CUST-0058,1,19.77,19.77,73.75999999999999
ORD-00124,2023-05-21 00:00:00.000000,West,Clothing,Socks Pack,CUST-0039,4,459.8,1839.2,192.21
ORD-00021,2023-01-23 19:42:41.755485,East,Furniture,Desk,CUST-0119,5,344.44,1722.2,57.86
ORD-00056,2023-03-04 18:12:24.827586,North,Clothing,T-Shirt,CUST-0042,11,282.095,3103.04,127.16499999999999
ORD-00142,2023-06-10 21:22:00.376175,East,Electronics,Keyboard,CUST-0110,8,392.57,3140.56,491.4
ORD-00207,2023-08-24 01:25:46.081504,West,Electronics,Monitor,CUST-0077,2,269.25,538.5,-37.49
ORD-00228,2023-09-17 00:31:35.924764,East,Furniture,Office Chair,CUST-0134,9,465.18,4186.62,-230.58
ORD-00249,2023-10-10 23:37:25.768025,South,Clothing,Cap,CUST-0110,6,284.37,1706.22,583.47
ORD-00054,2023-03-02 11:26:08.652037,South,Furniture,Bookshelf,CUST-0105,6,326.37,1958.22,633.03
ORD-00247,2023-10-08 00:00:00.000000,North,Office Supplies,Notebook Pack,CUST-0128,11,207.945,2287.4,1511.18
ORD-00023,2023-01-26 02:28:57.931034,West,Clothing,Jacket,CUST-0115,8,403.17,3225.36,450.66
ORD-00218,2023-09-05 14:40:15.047021,East,Furniture,Filing Cabinet,CUST-0107,5,18.16,90.8,-7.06
ORD-00126,2023-05-23 00:00:00.000000,South,Office Supplies,Pen Set,CUST-0091,2,112.1,224.2,19.35
ORD-00208,2023-08-25 04:48:54.169279,North,Electronics,Headphones,CUST-0066,1,388.44,388.44,-32.75
ORD-00233,2023-09-22 17:27:16.363636,East,Furniture,Desk,CUST-0120,11,193.46,2128.06,167.87
ORD-00017,2023-01-19 00:00:00.000000,South,Clothing,Cap,CUST-0111,9,323.03,2907.27,728.41
ORD-00194,2023-08-09 05:25:00.940438,South,Furniture,Bookshelf,CUST-0062,4,245.71,982.84,121.14
ORD-00307,2023-12-16 00:00:00.000000,South,Office Supplies,Pen Set,CUST-0052,9,121.45,1093.05,26.55
ORD-00173,2023-07-16 06:19:11.097178,South,Furniture,Filing Cabinet,CUST-0066,1,231.84,231.84,-9.72
ORD-00095,2023-04-18 06:14:40.250783,South,Office Supplies,Stapler,CUST-0092,1,203.67,203.67,61.72
ORD-00256,2023-10-18 00:00:00.000000,South,Electronics,Webcam,CUST-0147,5,44.96,224.8,43.44
ORD-00294,2023-12-01 07:58:29.717868,North,Electronics,Monitor,CUST-0059,4,124.26,497.04,118.45
ORD-00320,2023-12-31 00:00:00.000000,North,Clothing,Cap,CUST-0118,5,109.41,547.05,171.13
ORD-00092,2023-04-14 20:05:15.987460,North,Furniture,Office Chair,CUST-0102,11,358.06,3938.66,977.47
ORD-00254,2023-10-16 16:33:06.206896,North,Office Supplies,Printer Paper,CUST-0079,11,111.09,1221.99,-45.42
ORD-00281,2023-11-16 11:57:44.576802,East,Electronics,Keyboard,CUST-0043,11,237.16,2608.76,791.86
ORD-00178,2023-07-21 23:14:51.536050,East,Furniture,Filing Cabinet,CUST-0080,5,331.7,1658.5,59.9
ORD-00130,2023-05-28 04:44:23.322884,North,Office Supplies,Stapler,CUST-0026,1,256.11,256.11,88.69
ORD-00123,2023-05-20 05:02:26.708463,South,Electronics,Monitor,CUST-0135,10,311.46,3114.6,-83.36
ORD-00273,2023-11-07 08:52:39.874608,West,Electronics,Keyboard,CUST-0094,9,310.81,2797.29,808.03
ORD-00025,2023-01-28 00:00:00.000000,East,Clothing,Socks Pack,CUST-0094,2,309.12,618.24,-35.37
ORD-00114,2023-05-09 00:00:00.000000,South,Clothing,T-Shirt,,10,107.48,1074.8,38.62
ORD-00241,2023-10-01 00:00:00.000000,West,Clothing,T-Shirt,CUST-0099,7,336.13,2352.91,-179.62
ORD-00282,2023-11-17 15:20:52.664576,South,Office Supplies,Notebook Pack,CUST-0124,9,325.85,2932.65,738.41
ORD-00179,2023-07-23 02:37:59.623824,South,Clothing,Cap,CUST-0135,5,370.56,1852.8,150.84
ORD-00063,2023-03-12 17:54:21.442006,East,Office Supplies,Printer Paper,CUST-0058,9,160.65,1445.85,400.24
ORD-00271,2023-11-05 00:00:00.000000,North,Electronics,Keyboard,CUST-0023,1,81.03,81.03,-5.79
ORD-00079,2023-03-31 00:04:30.846394,South,Clothing,Jacket,CUST-0088,7,425.89,2981.23,158.8
ORD-00213,2023-08-30 00:00:00.000000,East,Electronics,Keyboard,CUST-0051,9,63.86,574.74,-35.24
ORD-00051,2023-02-27 01:16:44.388714,North,Electronics,Headphones,CUST-0056,10,356.24,3562.4,-78.7
ORD-00311,2023-12-20 17:31:47.210031,North,Electronics,Webcam,CUST-0022,6,405.92,2435.52,-145.96
ORD-00112,2023-05-07 15:47:57.742946,North,Furniture,Office Chair,CUST-0037,1,37.44,37.44,3.92
ORD-00146,2023-06-15 10:54:32.727272,South,Furniture,Bookshelf,CUST-0088,7,207.52,1452.64,248.11
ORD-00182,2023-07-26 12:47:23.887147,North,Clothing,T-Shirt,CUST-0101,4,329.48,1317.92,261.36
ORD-00211,2023-08-28 00:00:00.000000,South,Furniture,Bookshelf,CUST-0031,9,132.44,1191.96,284.34
ORD-00317,2023-12-27 13:50:35.736677,North,Clothing,T-Shirt,CUST-0091,10,402.35,4023.5,79.32
ORD-00053,2023-03-01 08:03:00.564263,South,Office Supplies,Pen Set,CUST-0082,7,76.84,537.88,175.19
ORD-00223,2023-09-11 07:35:55.485893,West,Electronics,Webcam,CUST-0127,10,237.63,2376.3,271.47
ORD-00062,2023-03-11 14:31:13.354231,East,Clothing,Cap,CUST-0133,7,460.92,3226.44,408.58
ORD-00217,2023-09-04 11:17:06.959247,South,Office Supplies,Pen Set,CUST-0112,4,207.945,831.78,228.42
ORD-00221,2023-09-09 00:49:39.310344,North,Office Supplies,Notebook Pack,CUST-0127,4,284.23,1136.92,232.49
ORD-00200,2023-08-16 00:00:00.000000,East,Furniture,Office Chair,CUST-0125,8,92.3,738.4,66.88
ORD-00070,2023-03-20 17:36:18.056426,North,Clothing,Cap,CUST-0025,6,87.12,522.72,144.45
ORD-00037,2023-02-11 01:52:51.159874,West,Clothing,Jacket,CUST-0019,2,426.01,852.02,159.06
ORD-00041,2023-02-15 15:25:23.510971,North,Clothing,Cap,CUST-0100,4,419.26,1677.04,-87.39
ORD-00224,2023-09-12 10:59:03.573667,West,Furniture,Office Chair,CUST-0033,4,294.96,1179.84,-14.19
ORD-00012,2023-01-13 13:14:28.965517,East,Clothing,Jacket,CUST-0048,10,254.74,2547.4,748.3
ORD-00111,2023-05-06 12:24:49.655172,West,Office Supplies,Pen Set,CUST-0111,5,22.74,113.7,37.74
ORD-00128,2023-05-25 21:58:07.147335,North,Office Supplies,Notebook Pack,CUST-0109,8,355.51,2844.08,660.85
ORD-00047,2023-02-22 11:44:12.037617,West,Office Supplies,Pen Set,CUST-0018,10,24.87,248.7,-2.29
ORD-00226,2023-09-14 17:45:19.749216,South,Office Supplies,Notebook Pack,CUST-0021,1,430.84,430.84,19.03
ORD-00245,2023-10-06 10:04:53.416927,East,Clothing,Socks Pack,CUST-0128,4,439.99,1759.96,119.46
ORD-00129,2023-05-27 00:00:00.000000,West,Furniture,Office Chair,CUST-0117,10,298.95,2989.5,-129.41
ORD-00288,2023-11-24 11:39:41.191222,North,Electronics,Webcam,CUST-0024,9,237.16,2134.44,28.79
ORD-00008,2023-01-08 23:41:56.614420,West,Clothing,T-Shirt,CUST-0010,10,299.24,2992.4,-102.41
ORD-00290,2023-11-26 00:00:00.000000,North,Clothing,Jacket,CUST-0072,9,77.98,701.82,16.17
ORD-00174,2023-07-17 09:42:19.184952,North,Clothing,Cap,CUST-0059,6,461.32,2767.92,127.16499999999999
ORD-00250,2023-10-12 03:00:33.855799,East,Clothing,Jacket,CUST-0056,11,211.72,2328.92,-108.81
ORD-00238,2023-09-28 00:00:00.000000,East,Furniture,Bookshelf,CUST-0049,5,176.14,880.7,61.97
ORD-00009,2023-01-10 00:00:00.000000,North,Clothing,Jacket,CUST-0090,4,76.22,304.88,95.87
ORD-00028,2023-01-31 19:24:38.369905,West,Electronics,Monitor,CUST-0089,8,52.05,416.4,73.82
ORD-00293,2023-11-30 04:35:21.630094,North,Furniture,Desk,CUST-0028,10,124.17,1241.7,77.44
ORD-00059,2023-03-08 04:21:49.090909,South,Furniture,Office Chair,CUST-0089,3,288.37,865.11,133.74
ORD-00232,2023-09-21 00:00:00.000000,East,Clothing,Socks Pack,CUST-0026,11,489.42,5383.62,669.66
ORD-00185,2023-07-29 22:56:48.150470,West,Electronics,Monitor,CUST-0112,4,338.99,1355.96,419.87
ORD-00154,2023-06-24 13:59:37.429467,West,Office Supplies,Pen Set,CUST-0143,4,40.55,162.2,-6.16
ORD-00049,2023-02-24 00:00:00.000000,South,Electronics,Webcam,CUST-0015,9,100.56,905.04,19.77
ORD-00172,2023-07-15 02:56:03.009404,West,Office Supplies,Printer Paper,CUST-0096,4,207.945,831.78,8.52
ORD-00032,2023-02-05 00:00:00.000000,East,Office Supplies,Printer Paper,CUST-0117,11,337.26,3709.86,186.0
ORD-00002,2023-01-02 03:23:08.087774,North,Office Supplies,Notebook Pack,CUST-0063,9,483.28,4349.52,731.67
ORD-00231,2023-09-20 10:41:00.188087,South,Electronics,Headphones,CUST-0013,5,165.35,826.75,270.26
ORD-00014,2023-01-15 20:00:45.141065,North,Office Supplies,Stapler,CUST-0063,11,29.38,323.18,22.02
ORD-00010,2023-01-11 06:28:12.789968,North,Electronics,Monitor,CUST-0024,7,62.17,435.19,-39.38
ORD-00147,2023-06-16 14:17:40.815047,East,Clothing,Cap,CUST-0055,6,102.39,614.34,42.85
ORD-00309,2023-12-18 10:45:31.034482,West,Clothing,Cap,CUST-0127,9,192.27,1730.43,127.16499999999999
ORD-00096,2023-04-19 09:37:48.338557,East,Furniture,Office Chair,CUST-0128,5,177.28,886.4,251.74
ORD-00035,2023-02-08 00:00:00.000000,East,Furniture,Office Chair,CUST-0055,9,278.73,2508.57,805.91
ORD-00097,2023-04-20 00:00:00.000000,West,Furniture,Bookshelf,CUST-0083,7,201.49,1410.43,33.39
ORD-00214,2023-09-01 01:07:42.695924,North,Electronics,Headphones,CUST-0124,1,202.26,202.26,69.92
ORD-00175,2023-07-18 00:00:00.000000,South,Office Supplies,Stapler,CUST-0011,6,207.945,1247.67,338.04
ORD-00266,2023-10-30 00:00:00.000000,East,Clothing,Socks Pack,CUST-0146,3,353.89,1061.67,124.56
ORD-00222,2023-09-10 04:12:47.398119,North,Furniture,Office Chair,CUST-0032,1,447.78,447.78,73.75999999999999
ORD-00169,2023-07-11 16:46:38.746081,North,Clothing,Socks Pack,CUST-0125,9,237.04,2133.36,-66.57
ORD-00046,2023-02-21 00:00:00.000000,West,Electronics,Headphones,CUST-0121,8,464.26,3714.08,919.04
ORD-00162,2023-07-03 17:04:42.131661,South,Office Supplies,Stapler,CUST-0038,8,126.17,1009.36,-27.69
ORD-00289,2023-11-25 15:02:49.278996,South,Office Supplies,Notebook Pack,CUST-0126,10,381.47,3814.7,834.16
ORD-00033,2023-02-06 12:20:18.808777,East,Clothing,Socks Pack,CUST-0080,9,138.91,1250.19,127.16499999999999
ORD-00078,2023-03-29 00:00:00.000000,West,Furniture,Desk,CUST-0116,6,426.75,2560.5,325.58
ORD-00264,2023-10-28 02:24:27.084639,West,Electronics,Keyboard,CUST-0125,6,488.07,2928.42,816.94
ORD-00134,2023-06-01 18:16:55.673981,East,Clothing,Socks Pack,CUST-0003,3,299.88,899.64,3.67
ORD-00145,2023-06-14 07:31:24.639498,West,Furniture,Filing Cabinet,CUST-0094,8,444.35,3554.8,275.79
ORD-00157,2023-06-28 00:09:01.692789,North,Clothing,Jacket,CUST-0128,7,368.89,2582.23,85.77
ORD-00064,2023-03-13 21:17:29.529780,South,Electronics,Headphones,CUST-0011,1,421.79,421.79,-31.63
ORD-00083,2023-04-04 13:37:03.197492,East,Electronics,Monitor,CUST-0108,4,353.0,1412.0,261.5
ORD-00060,2023-03-09 07:44:57.178683,East,Office Supplies,Stapler,CUST-0098,7,161.53,1130.71,287.59
ORD-00260,2023-10-23 12:51:54.733542,West,Clothing,Socks Pack,CUST-0018,11,34.61,380.71,104.93
ORD-00144,2023-06-13 00:00:00.000000,North,Electronics,Headphones,CUST-0112,5,16.45,82.25,28.02
ORD-00042,2023-02-16 18:48:31.598746,West,Electronics,Keyboard,CUST-0098,2,49.77,99.54,30.23
ORD-00187,2023-08-01 05:43:04.326018,East,Furniture,Desk,CUST-0078,7,245.71,1719.97,388.61
ORD-00242,2023-10-02 00:00:00.000000,West,Clothing,Jacket,CUST-0139,2,291.59,583.18,-57.11
ORD-00165,2023-07-07 03:14:06.394984,South,Electronics,Headphones,CUST-0023,11,243.61,2679.71,881.47
ORD-00110,2023-05-05 09:01:41.567398,North,Electronics,Keyboard,CUST-0016,4,328.2,1312.8,433.1
ORD-00206,2023-08-22 22:02:37.993730,West,Electronics,Monitor,CUST-0134,3,76.23,228.69,67.6
ORD-00255,2023-10-17 19:56:14.294670,East,Electronics,Monitor,CUST-0030,4,52.92,211.68,69.07
ORD-00122,2023-05-19 01:39:18.620689,East,Furniture,Office Chair,CUST-0086,1,297.15,297.15,83.87
ORD-00310,2023-12-19 00:00:00.000000,North,Office Supplies,Notebook Pack,CUST-0086,7,497.07,3479.49,97.0
ORD-00052,2023-02-28 04:39:52.476489,North,Clothing,T-Shirt,CUST-0148,5,231.99,1159.95,293.28
ORD-00057,2023-03-05 21:35:32.915360,West,Office Supplies,Printer Paper,CUST-0127,7,208.85,1461.95,97.0
ORD-00269,2023-11-02 19:20:07.523510,West,Office Supplies,Notebook Pack,CUST-0043,1,82.97,82.97,-0.61
ORD-00159,2023-06-30 00:00:00.000000,East,Clothing,Jacket,CUST-0058,2,448.58,897.16,127.16499999999999
ORD-00121,2023-05-17 22:16:10.532915,North,Electronics,Webcam,CUST-0106,3,20.49,61.47,-3.09
ORD-00315,2023-12-25 07:04:19.561128,North,Electronics,Webcam,CUST-0063,9,378.51,3406.59,-190.75
ORD-00318,2023-12-28 17:13:43.824451,South,Electronics,Monitor,,4,472.18,1888.72,152.84
ORD-00278,2023-11-13 01:48:20.313479,North,Clothing,T-Shirt,CUST-0075,7,262.18,1835.26,236.17
ORD-00283,2023-11-18 18:44:00.752351,West,Furniture,Desk,CUST-0046,8,428.83,3430.64,631.17
ORD-00246,2023-10-07 13:28:01.504702,East,Electronics,Monitor,CUST-0025,8,388.58,3108.64,383.81
ORD-00088,2023-04-10 06:32:43.636363,East,Office Supplies,Printer Paper,CUST-0019,1,25.27,25.27,6.31
ORD-00305,2023-12-13 00:00:00.000000,West,Furniture,Office Chair,CUST-0111,10,342.26,3422.6,-46.67
ORD-00166,2023-07-08 06:37:14.482758,North,Furniture,Bookshelf,CUST-0032,11,130.33,1433.63,-123.97
ORD-00276,2023-11-10 00:00:00.000000,North,Office Supplies,Printer Paper,CUST-0098,3,207.945,623.84,97.0
ORD-00259,2023-10-22 09:28:46.645768,North,Office Supplies,Stapler,CUST-0047,4,451.98,1807.92,-144.09
ORD-00106,2023-04-30 19:29:09.216300,East,Office Supplies,Stapler,CUST-0045,1,124.48,124.48,5.62
ORD-00077,2023-03-28 17:18:14.670846,East,Electronics,Keyboard,CUST-0140,5,272.07,1360.35,71.15
ORD-00183,2023-07-27 16:10:31.974921,South,Electronics,Webcam,CUST-0141,4,102.92,411.68,102.99
ORD-00050,2023-02-25 00:00:00.000000,East,Office Supplies,Pen Set,CUST-0092,9,31.98,287.82,51.04
ORD-00296,2023-12-03 00:00:00.000000,South,Clothing,Jacket,CUST-0036,10,382.76,3827.6,1219.1
ORD-00006,2023-01-06 16:55:40.438871,South,Electronics,Monitor,CUST-0064,11,327.71,3604.81,1046.73
ORD-00018,2023-01-20 09:33:17.492163,North,Clothing,Cap,CUST-0078,4,429.5,1718.0,127.16499999999999
ORD-00094,2023-04-17 02:51:32.163009,North,Electronics,Keyboard,CUST-0129,3,7.23,21.69,2.85
ORD-00117,2023-05-13 08:43:38.181818,South,Furniture,Bookshelf,CUST-0035,9,421.4,3792.6,65.07
ORD-00267,2023-10-31 00:00:00.000000,South,Furniture,Filing Cabinet,CUST-0018,5,183.99,919.95,70.08
ORD-00107,2023-05-01 22:52:17.304075,North,Electronics,Monitor,CUST-0038,10,237.16,2371.6,221.69
ORD-00188,2023-08-02 09:06:12.413793,South,Furniture,Bookshelf,CUST-0004,6,203.03,1218.18,357.9
ORD-00163,2023-07-04 20:27:50.219435,North,Clothing,T-Shirt,CUST-0043,10,389.79,3897.9,127.16499999999999
ORD-00135,2023-06-02 21:40:03.761755,West,Clothing,Socks Pack,CUST-0079,3,307.33,921.99,137.46
ORD-00270,2023-11-03 22:43:15.611285,West,Clothing,T-Shirt,CUST-0078,5,468.41,2342.05,795.68
ORD-00227,2023-09-15 00:00:00.000000,South,Furniture,Office Chair,CUST-0140,1,181.9,181.9,3.49
ORD-00215,2023-09-02 04:30:50.783699,West,Electronics,Webcam,CUST-0028,8,227.12,1816.96,139.57
ORD-00191,2023-08-05 19:15:36.677115,West,Electronics,Monitor,CUST-0141,11,462.32,5085.52,1421.38
ORD-00065,2023-03-15 00:00:00.000000,North,Furniture,Bookshelf,CUST-0010,4,90.63,362.52,14.95
ORD-00027,2023-01-30 16:01:30.282131,North,Clothing,Jacket,CUST-0140,7,392.4,2746.8,708.13
ORD-00308,2023-12-17 07:22:22.946708,West,Office Supplies,Printer Paper,CUST-0065,1,219.1,219.1,3.04
ORD-00170,2023-07-12 00:00:00.000000,West,Office Supplies,Printer Paper,CUST-0008,7,174.49,1221.43,314.53
ORD-00268,2023-11-01 15:56:59.435736,North,Office Supplies,Notebook Pack,CUST-0117,7,225.81,1580.67,503.93
ORD-00181,2023-07-25 09:24:15.799373,North,Office Supplies,Printer Paper,CUST-0039,4,207.04,828.16,81.18
ORD-00101,2023-04-25 00:00:00.000000,North,Furniture,Desk,CUST-0016,11,250.97,2760.67,73.75999999999999
ORD-00198,2023-08-13 18:57:33.291536,South,Furniture,Bookshelf,CUST-0140,10,490.51,4905.1,-336.79
ORD-00240,2023-09-30 00:00:00.000000,North,Clothing,Cap,CUST-0114,9,132.42,1191.78,127.16499999999999
ORD-00235,2023-09-25 00:00:00.000000,West,Clothing,T-Shirt,CUST-0066,7,182.54,1277.78,107.21
ORD-00210,2023-08-27 00:00:00.000000,West,Furniture,Filing Cabinet,CUST-0081,7,410.5,2873.5,-167.41
ORD-00136,2023-06-04 01:03:11.849529,South,Clothing,Cap,CUST-0109,6,285.63,1713.78,413.52
