age,fare,sibsp,parch,pclass,sex,embarked
22.0,55.0,0,1,1,female,S
19.0,7.8958,0,0,3,male,S
,7.8792,0,0,3,female,Q
47.0,9.0,0,0,3,male,S
40.0,15.75,0,0,2,female,S
20.0,9.825,1,0,3,female,S
36.0,26.0,1,0,2,female,S
18.0,7.8542,1,1,3,male,S
18.0,11.5,0,0,2,male,S
32.0,56.4958,0,0,3,male,S
33.0,7.8958,0,0,3,male,C
35.0,26.55,0,0,1,male,C
64.0,263.0,1,4,1,male,S
52.0,79.65,1,1,1,male,S
24.0,19.2583,0,3,3,female,C
61.0,6.2375,0,0,3,male,S
24.0,10.5,0,0,2,male,S
43.0,8.05,0,0,3,male,S
34.0,10.5,0,0,2,female,S
63.0,9.5875,0,0,3,female,S
24.0,69.3,0,0,1,female,C
38.0,71.2833,1,0,1,female,C
21.0,7.25,0,0,3,male,S
45.0,164.8667,1,1,1,female,S
16.0,34.375,1,3,3,male,S
20.0,7.925,1,0,3,male,S
,15.05,0,0,2,male,C
41.0,39.6875,0,5,3,female,S
30.0,13.0,0,0,2,male,S
29.0,8.05,0,0,3,male,S
3.0,21.075,3,1,3,female,S
3.0,26.0,1,1,2,male,S
54.0,26.0,1,0,2,male,S
28.0,7.925,2,0,3,male,S
36.0,7.4958,0,0,3,male,S
48.0,26.55,0,0,1,male,S
31.0,8.6833,0,0,3,female,S
26.0,7.8958,0,0,3,male,S
,25.4667,3,1,3,male,S
0.42,8.5167,0,1,3,male,C
25.0,7.775,0,0,3,female,S
,52.0,0,0,1,male,S
38.0,8.6625,0,0,3,male,S
,8.05,0,0,3,male,S
,15.2458,1,1,3,male,C
15.0,7.2292,1,1,3,male,C
35.0,26.0,0,0,2,male,S
,7.775,0,0,3,male,S
24.0,79.2,0,0,1,male,C
36.0,40.125,0,0,1,male,C
22.0,7.775,0,0,3,female,S
50.0,133.65,2,0,1,male,S
,7.75,0,0,3,male,Q
45.5,7.225,0,0,3,male,C
33.0,7.775,0,0,3,male,S
19.0,7.8958,0,0,3,male,S
18.0,13.0,0,0,2,male,S
16.0,7.75,0,0,3,female,Q
,30.0,0,0,1,male,S
,29.7,0,0,1,male,C
48.0,76.7292,1,0,1,male,C
22.0,7.8958,0,0,3,male,S
29.0,30.0,0,0,1,male,S
,25.925,0,0,1,male,S
38.0,153.4625,0,1,1,male,S
44.0,8.05,0,0,3,male,S
3.0,18.75,1,1,2,male,S
18.0,227.525,1,0,1,female,C
18.0,108.9,1,0,1,male,C
,24.15,1,0,3,male,Q
2.0,21.075,3,1,3,male,S
35.0,512.3292,0,0,1,male,C
74.0,7.775,0,0,3,male,S
31.0,13.0,0,0,2,male,S
28.5,16.1,0,0,3,male,S
56.0,30.6958,0,0,1,male,C
26.0,7.8542,1,0,3,male,S
32.0,7.8542,0,0,3,male,S
,7.2292,0,0,3,male,C
40.0,31.0,0,0,1,male,C
27.0,76.7292,0,0,1,male,C
,15.5,0,0,3,male,Q
38.0,7.8958,0,0,3,male,S
1.0,39.6875,4,1,3,male,S
,0.0,0,0,2,male,S
,7.7292,0,0,3,male,Q
0.67,14.5,1,1,2,male,S
,15.5,1,0,3,male,Q
2.0,12.2875,0,1,3,female,S
18.0,9.8417,0,0,3,female,S
51.0,77.9583,1,0,1,female,S
29.0,27.7208,1,0,2,male,C
49.0,0.0,0,0,3,male,S
24.0,9.5,0,0,3,male,S
31.0,20.525,1,1,3,female,S
45.0,7.75,0,0,3,female,S
32.0,7.925,0,0,3,male,S
18.0,14.4542,0,1,3,female,C
44.0,26.0,1,0,2,female,S
47.0,52.5542,1,1,1,female,S
36.5,26.0,0,2,2,male,S
30.0,13.0,0,0,2,male,S
27.0,10.5,0,0,2,female,S
29.0,9.5,0,0,3,male,S
71.0,49.5042,0,0,1,male,C
52.0,93.5,1,1,1,female,S
43.0,46.9,1,6,3,female,S
22.0,7.8958,0,0,3,male,S
,23.25,2,0,3,female,Q
,55.0,0,1,1,female,S
26.0,7.8958,0,0,3,male,S
25.0,7.925,1,0,3,female,S
,0.0,0,0,1,male,S
31.0,164.8667,0,2,1,female,S
45.0,8.05,0,0,3,male,S
22.0,7.25,0,0,3,male,S
49.0,76.7292,1,0,1,female,C
22.0,41.5792,1,2,2,female,C
4.0,22.025,0,2,3,female,S
29.0,15.2458,0,2,3,female,C
34.0,13.0,0,0,2,male,S
48.0,25.9292,0,0,1,female,S
27.0,21.0,1,0,2,female,S
54.0,59.4,1,0,1,female,C
,13.8625,0,0,2,male,C
19.0,26.0,1,0,2,female,S
22.0,66.6,1,0,1,female,S
45.5,28.5,0,0,1,male,S
,27.7208,0,0,1,male,C
23.0,7.8542,0,0,3,male,S
30.0,8.05,0,0,3,male,S
,7.2292,0,0,3,male,C
34.0,21.0,1,0,2,male,S
31.0,7.925,0,0,3,male,S
,69.55,8,2,3,male,S
40.0,27.9,1,4,3,male,S
,7.75,0,0,3,female,Q
32.0,10.5,0,0,2,male,S
20.0,9.225,0,0,3,male,S
27.0,211.5,0,2,1,male,C
32.5,13.0,0,0,2,female,S
44.0,27.7208,0,0,1,female,C
23.0,15.0458,0,0,2,male,C
34.0,14.4,1,1,3,male,S
32.0,26.0,1,0,2,male,S
4.0,81.8583,0,2,1,male,S
2.0,31.275,4,2,3,female,S
,0.0,0,0,2,male,S
25.0,13.0,0,0,2,male,S
24.0,8.05,0,0,3,male,S
21.0,8.6625,0,0,3,male,S
31.0,10.5,0,0,2,male,S
54.0,14.0,0,0,2,male,S
33.0,15.85,3,0,3,female,S
23.0,13.0,0,0,2,male,S
19.0,36.75,1,1,2,male,S
65.0,7.75,0,0,3,male,Q
,19.9667,1,0,3,male,S
42.0,13.0,0,0,2,female,S
18.0,11.5,0,0,2,male,S
27.0,13.0,0,0,2,male,S
54.0,77.2875,0,1,1,male,S
,7.2292,0,0,3,male,C
47.0,52.0,0,0,1,male,S
11.0,46.9,5,2,3,male,S
21.0,73.5,2,0,2,male,S
29.0,10.5,0,0,2,male,S
39.0,24.15,0,0,3,male,S
39.0,29.125,0,5,3,female,Q
36.0,15.55,1,0,3,male,S
17.0,108.9,1,0,1,female,C
,8.6625,0,0,3,male,S
11.0,31.275,4,2,3,female,S
47.0,14.5,1,0,3,female,S
,26.0,0,0,1,male,S
38.0,31.3875,1,5,3,female,S
,12.35,0,0,2,female,Q
19.0,30.0,0,0,1,female,S
48.0,39.6,1,0,1,female,C
,7.7375,0,0,3,male,Q
,146.5208,1,0,1,female,C
40.0,0.0,0,0,1,male,S
31.0,7.775,0,0,3,male,S
8.0,21.075,3,1,3,female,S
26.0,18.7875,0,0,3,male,C
24.0,73.5,2,0,2,male,S
22.0,7.2292,0,0,3,male,C
4.0,23.0,1,1,2,female,S
45.0,26.55,0,0,1,male,S
42.0,227.525,0,0,1,female,C
32.0,30.5,0,0,1,male,C
51.0,8.05,0,0,3,male,S
14.5,14.4542,1,0,3,female,C
,7.05,0,0,3,male,S
27.0,14.4542,1,0,3,male,C
,26.55,0,0,1,male,S
8.0,29.125,4,1,3,male,Q
42.0,27.0,1,0,2,male,S
40.0,134.5,1,1,1,female,C
5.0,31.3875,4,2,3,female,S
30.0,7.8958,0,0,3,male,S
,7.75,0,0,3,female,Q
4.0,29.125,4,1,3,male,Q
0.83,18.75,1,1,2,male,S
28.0,26.0,1,0,2,female,S
20.0,4.0125,0,0,3,male,C
,7.225,0,0,3,male,C
,30.6958,0,0,1,male,C
17.0,8.6625,0,0,3,male,S
,8.7125,0,0,3,male,C
29.0,7.775,0,0,3,male,S
35.0,7.125,0,0,3,male,S
6.0,31.275,4,2,3,female,S
19.0,7.8792,0,0,3,female,Q
21.0,7.8542,0,0,3,male,S
20.0,9.8458,0,0,3,male,S
7.0,26.25,0,2,2,female,S
39.0,7.925,0,0,3,male,S
26.0,14.4542,1,0,3,male,C
45.0,14.4542,0,1,3,female,C
33.0,20.525,1,1,3,male,S
2.0,26.0,1,1,2,male,S
,89.1042,1,0,1,female,C
26.0,16.1,1,0,3,female,S
32.0,56.4958,0,0,3,male,S
35.0,135.6333,0,0,1,female,S
28.0,14.4,1,1,3,female,S
39.0,31.275,1,5,3,male,S
28.0,9.5,0,0,3,male,S
37.0,29.7,0,1,1,male,C
,7.25,0,0,3,male,S
4.0,31.275,4,2,3,male,S
23.0,63.3583,0,1,1,male,C
38.0,7.05,0,0,3,male,S
25.0,7.05,0,0,3,male,S
29.0,10.5,0,0,2,female,S
54.0,51.8625,0,0,1,male,S
24.0,14.5,0,2,2,female,S
28.0,7.8958,0,0,3,male,S
,22.3583,0,2,3,female,C
14.0,7.8542,0,0,3,female,S
41.0,19.5,0,1,2,female,S
,14.5,0,0,3,male,S
50.0,10.5,0,0,2,female,S
,7.2292,0,0,3,male,C
21.0,7.775,0,0,3,male,S
22.0,49.5,0,2,1,female,C
24.0,7.4958,0,0,3,male,S
21.0,10.5,0,0,2,female,S
51.0,7.0542,0,0,3,male,S
24.0,27.0,2,1,2,female,S
19.0,13.0,0,0,2,male,S
22.0,8.05,0,0,3,male,S
61.0,33.5,0,0,1,male,S
,8.05,0,0,3,male,S
19.0,10.1708,0,0,3,male,S
,8.05,0,0,3,male,S
22.0,7.75,0,0,3,female,Q
28.0,22.525,0,0,3,male,S
54.0,23.0,1,3,2,female,S
41.0,7.125,0,0,3,male,S
28.5,7.2292,0,0,3,male,C
,7.8958,0,0,3,male,C
21.0,11.5,1,0,2,male,S
40.0,39.0,1,1,2,female,S
36.0,10.5,0,0,2,male,S
29.0,26.0,1,0,2,female,S
15.0,14.4542,1,0,3,female,C
40.5,7.75,0,0,3,male,Q
29.0,7.75,0,0,3,male,Q
33.0,26.0,0,2,2,female,S
19.0,8.05,0,0,3,male,S
35.0,10.5,0,0,2,male,S
18.0,262.375,2,2,1,female,C
18.0,17.8,1,0,3,female,S
,42.4,0,0,1,male,S
,7.7333,0,0,3,male,Q
,8.05,0,0,3,male,S
21.0,77.2875,0,1,1,male,S
,7.8292,0,0,3,female,Q
39.0,110.8833,1,1,1,female,C
20.0,7.8542,0,0,3,male,S
58.0,29.7,0,0,1,male,C
49.0,56.9292,1,0,1,male,C
5.0,19.2583,2,1,3,female,C
39.0,79.65,1,1,1,female,S
17.0,8.6625,0,0,3,male,S
65.0,61.9792,0,1,1,male,C
,133.65,1,0,1,female,S
,110.8833,0,0,1,female,C
21.0,8.05,0,0,3,male,S
31.0,50.4958,0,0,1,male,S
32.0,7.925,0,0,3,male,S
39.0,13.0,0,0,2,male,S
20.0,8.05,0,0,3,male,S
34.0,13.0,0,0,2,male,S
47.0,25.5875,0,0,1,male,S
36.0,26.2875,0,0,1,male,S
21.0,16.1,0,0,3,male,S
,8.05,0,0,3,male,S
,7.8958,0,0,3,male,S
30.0,8.6625,0,0,3,female,S
,7.8958,0,0,3,male,S
,7.225,0,0,3,male,C
33.0,8.6542,0,0,3,male,S
30.0,56.9292,0,0,1,female,C
1.0,39.0,2,1,2,male,S
20.0,8.6625,0,0,3,female,S
34.0,32.5,1,1,2,female,S
45.0,35.5,0,0,1,male,S
36.0,13.0,0,0,2,female,S
39.0,7.925,0,0,3,male,S
20.0,15.7417,1,1,3,male,C
34.5,6.4375,0,0,3,male,C
28.0,9.5,0,0,3,male,S
,23.25,2,0,3,male,Q
,8.05,0,0,3,male,S
10.0,24.15,0,2,3,female,S
9.0,15.2458,1,1,3,female,C
,7.8958,0,0,3,male,S
20.5,7.25,0,0,3,male,S
,52.0,1,0,1,female,S
36.0,135.6333,0,0,1,female,C
,8.05,0,0,3,male,S
,7.55,0,0,3,male,S
20.0,8.6625,0,0,3,male,S
22.0,10.5167,0,0,3,female,S
39.0,13.0,0,0,2,male,S
37.0,9.5875,0,0,3,female,S
48.0,65.0,1,2,2,female,S
23.0,13.0,0,0,2,male,S
,7.7375,0,0,3,female,Q
70.0,10.5,0,0,2,male,S
32.0,15.5,1,1,3,female,Q
16.0,20.25,1,1,3,male,S
21.0,73.5,0,0,2,male,S
,7.25,0,0,3,male,S
42.0,13.0,0,0,2,male,S
24.0,7.7958,0,0,3,male,S
22.0,7.75,0,0,3,female,S
40.0,7.225,0,0,3,male,C
0.92,151.55,1,2,1,male,S
33.0,8.6625,0,0,3,male,C
18.0,7.775,0,0,3,male,S
28.0,56.4958,0,0,3,male,S
37.0,26.0,1,0,2,male,S
5.0,12.475,0,0,3,female,S
13.0,7.2292,0,0,3,female,C
27.0,26.0,0,0,2,male,S
38.0,13.0,0,0,2,female,S
42.0,7.55,0,0,3,male,S
3.0,15.9,1,1,3,male,S
28.0,12.65,0,0,2,female,S
50.0,247.5208,0,1,1,female,C
51.0,26.55,0,0,1,male,S
,7.2292,0,0,3,male,C
26.0,78.85,0,0,1,female,S
,7.8958,0,0,3,male,S
24.0,49.5042,0,0,1,female,C
42.0,52.5542,1,0,1,male,S
42.0,26.2875,0,0,1,male,S
,7.8958,0,0,3,male,S
36.0,27.75,1,2,2,male,S
19.0,26.2833,0,2,1,female,S
,69.55,8,2,3,female,S
65.0,26.55,0,0,1,male,S
15.0,8.0292,0,0,3,female,Q
,7.225,0,0,3,female,C
46.0,79.2,0,0,1,male,C
28.0,47.1,0,0,1,male,S
50.0,26.0,0,1,2,female,S
19.0,91.0792,1,0,1,female,C
,24.15,1,0,3,female,Q
25.0,55.4417,1,0,1,male,C
62.0,80.0,0,0,1,female,
27.0,53.1,1,0,1,male,S
35.0,90.0,1,0,1,female,S
,15.1,0,0,3,male,S
42.0,7.65,0,0,3,male,S
,7.8958,0,0,3,male,C
,51.8625,1,0,1,female,S
24.0,7.05,0,0,3,male,S
24.0,7.1417,0,0,3,male,S
4.0,39.0,2,1,2,female,S
28.0,13.0,0,0,2,female,S
18.0,73.5,0,0,2,male,S
27.0,11.1333,0,2,3,female,S
,39.6,0,0,1,male,C
14.0,46.9,5,2,3,male,S
28.0,24.0,1,0,2,female,C
22.0,9.35,0,0,3,male,S
37.0,52.5542,1,1,1,male,S
47.0,7.25,0,0,3,male,S
,14.5,0,0,3,male,S
28.0,13.0,0,0,2,male,S
36.0,24.15,1,1,3,male,S
20.0,7.2292,0,0,3,male,C
55.0,16.0,0,0,2,female,S
,25.4667,3,1,3,female,S
22.0,7.125,0,0,3,male,S
57.0,10.5,0,0,2,female,S
29.0,7.0458,1,0,3,male,S
26.0,8.6625,2,0,3,male,S
,8.05,0,0,3,male,S
39.0,55.9,1,0,1,female,S
32.0,7.8958,0,0,3,male,S
30.0,12.475,0,0,3,female,S
38.0,80.0,0,0,1,female,
,7.8958,0,0,3,male,S
18.0,7.4958,0,0,3,female,S
24.0,65.0,1,2,2,female,S
4.0,16.7,1,1,3,female,S
22.0,7.25,0,0,3,female,S
,7.8792,0,0,3,female,Q
23.0,10.5,0,0,2,male,S
18.0,7.7958,0,0,3,male,S
,31.0,0,0,1,male,S
33.0,7.8958,0,0,3,male,S
8.0,26.25,0,2,2,female,S
22.0,7.25,1,0,3,male,S
36.0,26.3875,0,0,1,male,S
25.0,13.0,0,0,2,male,S
19.0,8.05,0,0,3,male,S
,23.45,1,2,3,female,S
36.0,120.0,1,2,1,male,S
23.0,11.5,2,1,2,male,S
29.0,21.075,0,4,3,female,S
1.0,11.1333,1,1,3,female,S
35.0,7.8958,0,0,3,male,C
29.0,21.0,1,0,2,male,S
44.0,26.0,1,0,2,male,S
36.0,78.85,1,0,1,male,S
,7.8958,0,0,3,male,S
,6.95,0,0,3,male,Q
21.0,7.7958,0,0,3,male,S
16.0,9.5,0,0,3,male,S
6.0,33.0,0,1,2,female,S
32.0,8.05,0,0,3,male,S
38.0,0.0,0,0,1,male,S
26.0,26.0,1,1,2,female,S
54.0,78.2667,1,0,1,female,C
,50.0,0,0,1,male,S
40.0,27.7208,0,0,1,male,C
42.0,13.0,0,0,2,male,S
28.0,7.8542,0,0,3,male,S
35.0,53.1,1,0,1,female,S
18.0,6.4958,1,0,3,male,S
18.0,8.3,0,0,3,male,S
9.0,31.3875,4,2,3,male,S
36.0,7.8958,0,0,3,male,S
2.0,27.9,3,2,3,female,S
25.0,7.05,0,0,3,male,S
54.0,26.0,0,0,2,male,S
9.0,34.375,2,2,3,female,S
80.0,30.0,0,0,1,male,S
40.0,153.4625,0,0,1,female,S
41.0,134.5,0,0,1,female,C
24.0,26.0,1,0,2,female,S
22.0,9.0,0,0,3,male,S
17.0,57.0,1,0,1,female,S
45.0,27.9,1,4,3,female,S
20.0,7.05,0,0,3,male,S
52.0,78.2667,1,0,1,female,C
35.0,7.05,0,0,3,male,S
30.0,7.2292,0,0,3,male,C
,21.6792,2,0,3,male,C
38.0,90.0,1,0,1,male,S
,14.4542,1,0,3,female,C
39.0,0.0,0,0,1,male,S
31.0,113.275,1,0,1,female,C
22.0,7.5208,0,0,3,male,S
20.0,7.925,0,0,3,male,S
22.0,151.55,0,0,1,female,S
26.0,7.8542,0,0,3,female,S
15.0,7.225,0,0,3,female,C
32.0,15.85,1,0,3,male,S
30.0,86.5,0,0,1,female,S
34.0,23.0,0,1,2,female,S
,7.75,0,0,3,female,Q
1.0,20.575,1,2,3,male,S
28.0,13.5,0,0,2,male,S
30.0,93.5,0,0,1,female,S
22.0,7.25,0,0,3,male,S
21.0,34.375,2,2,3,female,S
36.0,12.875,0,0,2,male,C
40.0,7.8958,0,0,3,male,S
1.0,37.0042,0,2,2,male,C
40.0,15.5,1,1,3,male,Q
28.0,7.8958,0,0,3,female,S
40.0,13.0,0,0,2,female,S
,7.7333,0,0,3,female,Q
27.0,7.8958,0,0,3,male,S
24.0,83.1583,0,0,1,female,C
5.0,27.75,1,2,2,female,S
34.0,6.4958,0,0,3,male,S
23.0,113.275,1,0,1,female,C
70.5,7.75,0,0,3,male,Q
17.0,7.925,4,2,3,female,S
16.0,57.9792,0,1,1,female,C
19.0,8.1583,0,0,3,male,S
25.0,7.25,0,0,3,male,S
25.0,151.55,1,2,1,female,S
42.0,52.0,1,0,1,male,S
21.0,7.925,0,0,3,male,S
,7.8958,0,0,3,male,S
,0.0,0,0,2,male,S
15.0,211.3375,0,1,1,female,S
45.0,6.975,0,0,3,male,S
,19.9667,1,0,3,male,S
25.0,7.775,1,0,3,male,S
33.0,5.0,0,0,1,male,S
28.0,13.0,0,0,2,female,S
32.0,73.5,2,0,2,male,S
26.0,30.0,0,0,1,male,C
37.0,7.925,2,0,3,male,S
50.0,28.7125,0,0,1,female,C
50.0,106.425,1,0,1,male,C
,8.1375,0,0,3,female,Q
34.0,21.0,1,0,2,male,S
,7.8792,0,0,3,female,Q
35.0,512.3292,0,0,1,female,C
48.0,34.375,1,3,3,female,S
47.0,38.5,0,0,1,male,S
,26.55,0,0,1,male,S
